Name,urduName,Parent
chot/ chotiyal,چوٹ/ چوٹیال,Awan
chandi,چاندی,Awan
chathlay,چاٹھلے,Awan
chalal,چھلال,Awan
chatwal,چھتوال,Awan
choonga,چھونگا,Awan
,حسوال,Awan
,حمدال,Awan
,حست آل,Awan
,حکیمال,Awan
,حاکمال/ بغلیال,Awan
,حطار,Awan
,حسنال,Awan
,حافظال,Awan
,حیدرال,Awan
,حبیب آل,Awan
,دھنی آل,Awan
,دتوال,Awan
,درتال,Awan
,درسال,Awan
,دریال,Awan
,دھرمسال,Awan
,دھوسا,Awan
,طور,Awan
,صافی قبیلہ,Awan
,صدقال,Awan
,صدیال,Awan
,صفہال,Awan
,صحرابی,Awan
,صغرال,Awan
,صابرال,Awan
,شریف خان آل,Awan
,شپرال,Awan
,فتوال,Awan
,غازی خیل,Awan
,غازی آل,Awan
,غلام محمد آل,Awan
,غازی,Awan
,فتوآل,Awan
,فقرال,Awan
,فیض طلب آل,Awan
,فیروزال,Awan
,فتحال,Awan
,فقیرہ آل,Awan
,فیروز زئی,Awan
,قالمال,Awan
,قسمال,Awan
,قائم بن انور,Awan
,قطب آل,Awan
,قاضیال,Awan
,قیاس آل,Awan
,عنایت آل,Awan
,عنایت خانی,Awan
,عیسال,Awan
,عطرال,Awan
,عبدالرحمن,Awan
,کنڈی,Awan
,کہوگا,Awan
,کالو آل,Awan
,کلتان,Awan
,کانگ,Awan
,کلوکے,Awan
,کمال آل,Awan
,کوڑ آل,Awan
,کالا آل,Awan
,کلدانی,Awan
,کرسیال,Awan
,کنڈان,Awan
,کونڈے,Awan
,کلیکال,Awan
,کرمیال,Awan
,کلیم,Awan
,کمال آل,Awan
,کلاڑ,Awan
,کالیال,Awan
,کوٹلہ,Awan
,کالرے,Awan
,کندلانی,Awan
,کرملے,Awan
,کٹوال,Awan
,کوٹلہ,Awan
,کھمبرے,Awan
,کھرانہ,Awan
,گل جہان,Awan
,گھول,Awan
,گھوڑے خیل,Awan
,گھرٹے,Awan
,گھول,Awan
,گھوگھیال,Awan
,لسوال,Awan
,لسیال,Awan
,لعل کے,Awan
,لال خیل,Awan
,لدیال,Awan
,لدھے خیل,Awan
,مونڈیال,Awan
,مدھوال,Awan
,مسوال,Awan
,میر احمد,Awan
,مندو,Awan
,مینا آل,Awan
,مردوال,Awan
,مصرال,Awan
,محمدیارے خیل,Awan
,مرنال,Awan
,ملوک آل,Awan
,ملوک شاہی,Awan
,مکھانا,Awan
,مچھوڑا,Awan
,مغلال/ مگال,Awan
,موکھر,Awan
,میال,Awan
,متوال,Awan
,مہرجان,Awan
,مندیال,Awan
,منا آل,Awan
,ماجو آل,Awan
,ملکا,Awan
,منگر,Awan
,میرزال,Awan
,مہر آل,Awan
,ملاں آل,Awan
Qureshi,قریشی,
,کہوٹ قریش,Qureshi
,کیٹھوال,Qureshi
,طاہر خیل,Qureshi
,شدے,Qureshi
,قطب شاہ,Qureshi
,کرار/ کہریار,Qureshi
,کھگے,Qureshi
Mughal, مغل,
Mochi, موچی,
Rehmani, رحمانی,
Ansari,انصاری,
Baloch, بلوچ,
Bugti, بگٹی, Baloch
Malik, ملک,
Sial, سیال,
