Thedha,ٹھیڈہ,Gujjar
Thalla,ٹھلہ,Gujjar
Dhonchak,دھونچک,Gujjar
Chaabri,چھابری,Gujjar
Chaala,چھالہ,Gujjar
Chohan,چھوھن,Gujjar
Chohaan,چھوہان,Gujjar
Chokar Goat,چھوکر گوت,Gujjar
Chaarr,چاڑ,Gujjar
Chaap/Chawarr,چاپ/ چاوڑ,Gujjar
Chaawra,چاورہ,Gujjar
Dev,دیو,Gujjar
Dehar,دہڑ,Gujjar
Sammah,سمہ,Gujjar
Saangoo,سانگو,Gujjar
Saraa madnah,سرامدنہ,Gujjar
Sogi,سوگی,Gujjar
Sangrana,سنگرانہ,Gujjar
seesoad,سیسود,Gujjar
Ghaloat,گھلوٹ,Gujjar
Saalbania,سالبانیہ,Gujjar
Solangi,سلنگی,Gujjar
Chalokiya,چلوکیا,Gujjar
Sagar/Sangraana,ساگر/ سنگرانہ,Gujjar
Sagraasi,سگراسی,Gujjar
Sporia,سپوریا,Gujjar
Haada,ہاڈا,Gujjar
Kasaana,کسانہ,Gujjar
Knaariye,کناریے,Gujjar
Khober,کھوبر,Gujjar
Khachi,کھچی,Gujjar
Koali,کولی,Gujjar
Laawi,لاوی,Gujjar
Laali,لالی,Gujjar
Lolae,لولائی,Gujjar
Laghari,لغاری,Gujjar
Lashari,لاشاری,Gujjar
Achakzai,اچکزئی,
Afridi,آفریدی,
Ali zai,علیزئی,
Akakhel,اکاخیل,
Bangash,بنگش,
Durrani,درانی,
Esa Khel,عیسی خیل,
Jadoon,جدون,
Kaka khel,کاکاخیل,
Kakay Zai,ککےزئی,
Khatak,خٹک,
Khizer khel,خضرخیل,
Khakwani,خاکوانی,
Lodhi,لودھی,
Mahmood khel,محمودخیل,
Marwat,مروت,
Moosa khel,موسی خیل,
Niazi,نیازی,
Miana,میانہ,
Mando khel,مندوخیل,
Noor zai,نورزئی,
Orakzai,اورکزئی,
Popal zai,پوپلزئی,
Sawati,سواتی,
Sadu zai,سدوزئی,
Salar zai,سالارزئی,
Sulemani,سلیمانی,
Suleman khel,سلیمان خیل,
Soori,سوری,
Tanoli,تنولی,
Tareen,ترین,
Tarkhel,ترخیل,
Umer zai,عمرزئی,
Usman khel,عثمان خیل,
Wazir,وزیر,
Yousaf zai,یوسف زئی,
Yousaf khel,یوسف خیل,
Mahsood,محسود,
Burki,برکی,
Bhangar,بھنگر,
Bhatti,بھٹی,
Bukhari,بخاری,
Chachar,چاچڑ,
Chandio,چانڈیو,
Chughtai,چغتائی,
Hashmi,ہاشمی,
Kalwar,کلوار,
